;ARM;AUB;CAM;DNZ;ELO;MOX;ROS
ARM;NA;0.000626978585415138;5.75E-05;0.000126089169925808;-7.20E-05;0.00404060617401493;0.000887303172907202
AUB;ns;NA;0.000137744927196892;0.000207234983477713;0.000299215090114414;0.00239199967647886;-0.000334661866945083
CAM;ns;ns;NA;-0.000278860871624625;-0.000261352034538821;0.00295948054083627;-0.000113485349868748
DNZ;ns;ns;ns;NA;-0.000409049178833836;0.00311929695725654;0.000128441758761526
ELO;ns;ns;ns;ns;NA;0.00357490257816398;0.000420775634057797
MOX;ns;ns;ns;ns;ns;NA;0.00191613246269247
ROS;ns;ns;ns;ns;ns;ns;NA
