;ARM;AUB;CAM;DNZ;ELO;MOX;ROS
ARM;NA;0.000698107412963587;5.94E-05;0.000300663603278419;1.01E-05;0.00395802730249013;0.000888292022371985
AUB;NA;NA;0.000145277278608248;0.000289309018734556;0.000344056660358983;0.00230869671494163;-0.000269732732524191
CAM;NA;NA;NA;-0.000248207041586447;-0.000237835097212188;0.00305594087771662;-3.40E-05
DNZ;NA;NA;NA;NA;-0.000291082255871794;0.00305856251582751;0.000168251917018043
ELO;NA;NA;NA;NA;NA;0.0036150328414871;0.00043899223405923
MOX;NA;NA;NA;NA;NA;NA;0.00194148850414938
ROS;NA;NA;NA;NA;NA;NA;NA
