"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.00127888800679948;0.000550473970738567;0.000880661853412087;0.000566700343159402;0.00478603482479931;0.0014639350499416
"AUB";NA;NA;0.000724569501195809;0.000912927602666466;0.0010060510681173;0.00305178802230026;0.000314975700172322
"CAM";NA;NA;NA;0.000303695732020088;0.000272219830074056;0.0037312220802365;0.000501202757356239
"DNZ";NA;NA;NA;NA;0.000292887373613789;0.00386453200925964;0.000710963681489813
"ELO";NA;NA;NA;NA;NA;0.00441561005647724;0.00102485234459704
"MOX";NA;NA;NA;NA;NA;NA;0.00257976165838216
"ROS";NA;NA;NA;NA;NA;NA;NA
