"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.00117317969004142;0.000449849500818978;0.000747128104076247;0.000466287270544884;0.00462056346255954;0.00133088300981492
"AUB";NA;NA;0.000583324544244006;0.000762183614393075;0.000810784246566853;0.00289272459304898;0.00018060015907897
"CAM";NA;NA;NA;0.000177883706808543;0.000176969656797542;0.00361075202728607;0.000355181110728011
"DNZ";NA;NA;NA;NA;0.000153654814526828;0.0036822344609223;0.000600197263272136
"ELO";NA;NA;NA;NA;NA;0.00420328956745248;0.000876516927469657
"MOX";NA;NA;NA;NA;NA;NA;0.00244044182159137
"ROS";NA;NA;NA;NA;NA;NA;NA
