"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;7.30116650135876e-05;-0.000443783275602977;-0.000255382993861112;-0.000547902852508044;0.00311898559382072;0.000318049503706678
"AUB";NA;NA;-0.000400603511882348;-0.000332821925652663;-0.000245777607944303;0.0015404913999243;-0.00082215337491365
"CAM";NA;NA;NA;-0.000796311079499538;-0.000734123861676842;0.00232803591256932;-0.00051464012581549
"DNZ";NA;NA;NA;NA;-0.00089953335934437;0.00230091372036842;-0.000403747874702508
"ELO";NA;NA;NA;NA;NA;0.00284077084430245;-0.000129639495174789
"MOX";NA;NA;NA;NA;NA;NA;0.00129808486257726
"ROS";NA;NA;NA;NA;NA;NA;NA
