"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.000221430439434257;-0.000330481794697529;-0.000149375141676307;-0.000411967389399359;0.00331046709911089;0.000426909201532793
"AUB";NA;NA;-0.000306557619985179;-0.000191359934037073;-0.000142067518930389;0.00173681051125237;-0.000729263907631299
"CAM";NA;NA;NA;-0.000672517490674942;-0.000636189676283117;0.00252156959671824;-0.000443979836023353
"DNZ";NA;NA;NA;NA;-0.000734090513611146;0.00244959799274629;-0.000267043880345587
"ELO";NA;NA;NA;NA;NA;0.00303192760081579;7.82900630417264e-06
"MOX";NA;NA;NA;NA;NA;NA;0.00143533406666849
"ROS";NA;NA;NA;NA;NA;NA;NA
