"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.000328914225775643;-0.000242086267002939;-4.30196343719509e-05;-0.000322372825913127;0.00346361414489872;0.000551574109290268
"AUB";NA;NA;-0.000190364654100374;-6.83757740409484e-05;-1.87611335928863e-05;0.00186710028881589;-0.000606872946451847
"CAM";NA;NA;NA;-0.0005730232576732;-0.000545702958916543;0.00264915365669601;-0.000331824142689534
"DNZ";NA;NA;NA;NA;-0.00062088171099332;0.00259867509770444;-0.000168262613690333
"ELO";NA;NA;NA;NA;NA;0.00317685219272668;0.00010662176375273
"MOX";NA;NA;NA;NA;NA;NA;0.00155325728715525
"ROS";NA;NA;NA;NA;NA;NA;NA
