"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.00105910991328623;0.000359833603793502;0.000647561393309143;0.000345260951129438;0.00445715255742618;0.00122594727765402
"AUB";NA;NA;0.000492090020530358;0.00065861833974946;0.000707690484590899;0.0027558376310034;6.94319029355107e-05
"CAM";NA;NA;NA;7.74315201673549e-05;6.5891449247806e-05;0.00347204270938223;0.000265626303219463
"DNZ";NA;NA;NA;NA;5.6385483607936e-05;0.0035301770659442;0.000499428967867336
"ELO";NA;NA;NA;NA;NA;0.00406674598820234;0.000770867244019579
"MOX";NA;NA;NA;NA;NA;NA;0.00233223240916069
"ROS";NA;NA;NA;NA;NA;NA;NA
