"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.000982967683539159;0.00035985935557019;0.000465879687591371;0.0002571873257817;0.00453264037020431;0.00122200831833449
"AUB";NA;NA;0.000465480098194616;0.000562079504409899;0.000653365530991344;0.00282380085822985;2.95177400403827e-06
"CAM";NA;NA;NA;3.43483225278695e-05;4.77987757957571e-05;0.00335595452099236;0.000189765995997186
"DNZ";NA;NA;NA;NA;-7.24237519887979e-05;0.00357774207681987;0.000457511659446724
"ELO";NA;NA;NA;NA;NA;0.00401174382691092;0.000748783787331232
"MOX";NA;NA;NA;NA;NA;NA;0.00228263295991102
"ROS";NA;NA;NA;NA;NA;NA;NA
