"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.00107964076720756;0.00045951331620142;0.000564316581659948;0.000354297076675974;0.0046777114599042;0.00133129007281069
"AUB";NA;NA;0.000585251146858107;0.000681571298591879;0.000763539222033763;0.00296381816837363;9.99429958904144e-05
"CAM";NA;NA;NA;0.000135097290214692;0.000148780915912323;0.0034744401836589;0.00026464233358793
"DNZ";NA;NA;NA;NA;2.71562914890505e-05;0.00372140976656524;0.000550775263067833
"ELO";NA;NA;NA;NA;NA;0.00415702482096044;0.000844616004264975
"MOX";NA;NA;NA;NA;NA;NA;0.002428166024535
"ROS";NA;NA;NA;NA;NA;NA;NA
