"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.000280151470817542;-0.000240472817870458;-0.000205126745137522;-0.000396345560725746;0.00354849869101899;0.00056062259181855
"AUB";NA;NA;-0.000188668301726671;-0.000153652300352526;-4.7376819567456e-05;0.00196365366505538;-0.000671253682025104
"CAM";NA;NA;NA;-0.000582868617123657;-0.000569656658300756;0.00256986404315097;-0.000401487049841386
"DNZ";NA;NA;NA;NA;-0.000741234017647838;0.00267090145265428;-0.00020228987609862
"ELO";NA;NA;NA;NA;NA;0.00313748149748295;9.79698792896782e-05
"MOX";NA;NA;NA;NA;NA;NA;0.00153942797954413
"ROS";NA;NA;NA;NA;NA;NA;NA
