"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.000172972939263629;-0.000332053252939077;-0.000301228483016327;-0.000487477041184215;0.00339327031578991;0.000460886423442103
"AUB";NA;NA;-0.000292718854871187;-0.000257259941674766;-0.000178562963263136;0.00183394128378615;-0.000766770804162882
"CAM";NA;NA;NA;-0.000681323364202474;-0.000663673564622026;0.00244845562441666;-0.000507857258851292
"DNZ";NA;NA;NA;NA;-0.000847859342920297;0.00254261450908348;-0.000294069442748128
"ELO";NA;NA;NA;NA;NA;0.00300824614510036;-1.28571722323408e-05
"MOX";NA;NA;NA;NA;NA;NA;0.00141346436010902
"ROS";NA;NA;NA;NA;NA;NA;NA
