"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;0.0012383142896972;0.000551705529972814;0.000706808050990666;0.000482193732021227;0.00486471230605086;0.00143988768847545
"AUB";NA;NA;0.000674204516627626;0.000787059895601812;0.000882699264776388;0.00313755769768615;0.000236386600280619
"CAM";NA;NA;NA;0.000215624677817152;0.000239987363287874;0.00358191343466135;0.000371302315862317
"DNZ";NA;NA;NA;NA;0.000140389567523747;0.0038546426640109;0.000651779786943516
"ELO";NA;NA;NA;NA;NA;0.00426702892040557;0.000949104023156522
"MOX";NA;NA;NA;NA;NA;NA;0.00256239157079355
"ROS";NA;NA;NA;NA;NA;NA;NA
