"";"ARM";"AUB";"CAM";"DNZ";"ELO";"MOX";"ROS"
"ARM";NA;-2.88369985950748e-07;-0.000451667903353886;-0.000416445956596509;-0.000581406621353518;0.00321494119003951;0.000299056300080615
"AUB";NA;NA;-0.000433593466889065;-0.000398707774931743;-0.000284282788504973;0.00172149700298289;-0.000895143669474321
"CAM";NA;NA;NA;-0.000780557542899235;-0.000763485702878383;0.00233100093557699;-0.000605696829277664
"DNZ";NA;NA;NA;NA;-0.000947708732088902;0.00240828463427134;-0.000422839892645554
"ELO";NA;NA;NA;NA;NA;0.0028952418841293;-0.000100274882223416
"MOX";NA;NA;NA;NA;NA;NA;0.00133503602330959
"ROS";NA;NA;NA;NA;NA;NA;NA
